group,WQSC,location,river,state,Latitude,Longitude
"NOT Class C",1075,"SONE AT KOELWAR, BHOJPUR",SONE,BIHAR,"25.5753","84.798144"
"NOT Class C",1076,"GHAGHARA NEAR CHAPRA, RIBILGANJ, SARAN",,BIHAR,"25.771153","84.654639"
"NOT Class C",1077,"GANGA AT KURJI, PATNA U/S",GANGA,BIHAR,"25.650869","85.115085"
"NOT Class C",1078,"GANDAK AT SONEPUR, PATNA (B/C GANGA), SARAN",GANDAK,BIHAR,"25.675279","85.189845"
"NOT Class C",1079,"GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",GANGA,BIHAR,"25.613753","85.204131"
"NOT Class C",1080,"GANGA AT BAHARAMPORE, MURSHIDABAD,",GANGA,"WEST BENGAL","24.100312","88.244054"
"Class C",1081,"BAITARNI AT JODA",BAITARNI,ODISHA,"22.018734","85.406998"
"Class C",1082,"BAITARNI AT ANANDPUR",BAITARNI,ODISHA,"21.214851","86.121323"
"Class C",1083,"BAITARNI AT JAJPUR",BAITARNI,ODISHA,"20.851312","86.33016"
"NOT Class C",1084,"BAITARNI AT CHANDBALI U/s",BAITARNI,ODISHA,"20.774033","86.744211"
"Class C",1085,"BAITARNI AT DHAMRA",BAITARNI,ODISHA,"20.795283","86.896965"
"Class C",1086,"SUTLEJ AT U/S RAMPUR",SUTLEJ,"HIMACHAL PRADESH","31.448039","77.628283"
"Class C",1087,"SUTLEJ AT D/S RAMPUR",SUTLEJ,"HIMACHAL PRADESH","31.432236","77.622567"
"Class C",1088,"RAVI AT U/S MADHOPUR",RAVI,"HIMACHAL PRADESH","32.492399","76.176291"
"Class C",1090,"LARGI AT D/S, DWADA",LARGI,"HIMACHAL PRADESH","31.701264","77.169233"
"Class C",1091,"BHADRA AT MALLESWARAM D/S OF KIOCL",BHADRA,KARNATAKA,"13.003125","77.565306"
"NOT Class C",1095,"GODAVARI AT U/S OF GANGAPUR DAM, NASHIK",GODAVARI,MAHARASHTRA,"20.048123","73.679809"
"NOT Class C",1096,"GODAVARI AT PANCHAVATI AT RAMKUND,NASHIK",GODAVARI,MAHARASHTRA,"20.008676","73.792361"
"Class C",1097,"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR, PUNJAB",RAVI,PUNJAB,"32.372983","75.61039"
"NOT Class C",1099,"MAHANADI AT U/S OF RAJIM, CHHATISGARH.",MAHANADI,CHHATTISGARH,"20.969822","81.876732"
"NOT Class C",11,"WAINGANGA AT ASHTI,GONDPIPRI, CHANDRAPUR",WAINGANGA,MAHARASHTRA,"19.715385","79.685289"
"NOT Class C",1100,"MAHANADI AT KHARAD, CHHATISGARH.",MAHANADI,CHHATTISGARH,"21.730837","82.565689"
"Class C",1105,"HASDEO AT U/S KORBA,",HASDEO,CHHATTISGARH,"22.380472","82.708433"
"NOT Class C",1106,"HASDEO AT U/S OF CHAMPA",HASDEO,CHHATTISGARH,"22.048233","82.634978"
"Class C",1107,"SEONATH AT U/S RAJNANDGAON,",SEONATH,CHHATTISGARH,"21.038264","80.973647"
"NOT Class C",1117,"YAMUNA AT HATHNIKUND, YAMUNANAGAR",YAMUNA,HARYANA,"30.314987","77.583328"
"NOT Class C",1119,"YAMUNA AT SONEPAT",YAMUNA,HARYANA,"29.002116","77.023752"
"NOT Class C",1120,"YAMUNA AT PALLA, DELHI",YAMUNA,DELHI,"28.85018","77.210184"
"NOT Class C",1121,"YAMUNA AT NIZAMUDDIN, DELHI",YAMUNA,DELHI,"28.598582","77.263308"
"NOT Class C",1123,"YAMUNA AT MATHURA U/S , U.P.",YAMUNA,"UTTAR PRADESH","27.564981","77.708718"
"NOT Class C",1124,"YAMUNA AT MATHURA D/S , U.P.",YAMUNA,"UTTAR PRADESH","27.443052","77.716133"
"NOT Class C",1125,"YAMUNA AT AGRA U/S, U.P.",YAMUNA,"UTTAR PRADESH","27.250657","77.861624"
"NOT Class C",1126,"YAMUNA AT D/S OF AGRA, U.P.",YAMUNA,"UTTAR PRADESH","27.17969","78.119555"
"NOT Class C",1142,"SONE AT CHACHAI, M.P.",SONE,"MADHYA PRADESH","23.169815","81.656141"
"Class C",1145,"GANGA AT NARORA (BULANDSAHAR)",GANGA,"UTTAR PRADESH","28.1897","78.395878"
"NOT Class C",1146,"GANGA AT BITHOOR (KANPUR)",GANGA,"UTTAR PRADESH","26.610906","80.275419"
"NOT Class C",1147,"GANGA AT DALMAU (RAI BAREILLY)",GANGA,"UTTAR PRADESH","26.074386","81.024075"
"Class C",1153,"KRISHNA AT RAJAPUR WEIR, RAJAPUR, SHIROL, KOHLAPUR",KRISHNA,MAHARASHTRA,"16.657053","73.521386"
"NOT Class C",1157,"MANJEERA AT RAIPALLY",MANJEERA,TELANGANA,"17.48468","79.107452"
"NOT Class C",1158,"MANER AT SOMNAPALLI",MANER,TELANGANA,"18.369532","79.626751"
"NOT Class C",1163,"GHATPRABHA AT W.A. POINT TO GOKAK TOWN,",GHATPRABHA,KARNATAKA,"16.174961","74.822508"
"Class C",1164,"MALPRABHA AT WATER ABSTR. PT. TO HUBLI, DHARWAR,",MALPRABHA,KARNATAKA,"15.797983","75.191492"
"NOT Class C",1165,"ARKAVATHI AT D/S OF KANAKAPURA TOWN,",ARKAVATHI,KARNATAKA,"12.535417","77.424792"
"Class C",1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR,",SHIMSHA,KARNATAKA,"12.422764","77.226144"
"NOT Class C",1167,"BHIMA AT D/S OF BDG. NEAR YADGIR,",BHIMA,KARNATAKA,"16.7341","77.130744"
"NOT Class C",1168,"TUNGA AT D/S OF SHIMOGA TOWN,",TUNGA,KARNATAKA,"13.926464","75.583336"
"NOT Class C",1169,"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,",BHADRA,KARNATAKA,"13.989311","75.683736"
"NOT Class C",1170,"KRISHNA AT D/S OF DEVASAGAR BDG.,",KRISHNA,KARNATAKA,"16.380508","77.362725"
"Class C",1171,"CAUVERY AT SRI RANGAPATTANNA, D/S OF ROAD BDG.,",CAUVERY,KARNATAKA,"12.423705","76.693672"
"NOT Class C",1172,"MUSI U/S AT GANDIPET, OSMANSAGAR LAKE, HYDERABAD","MUSI U/S",TELANGANA,"17.370422","78.472561"
"NOT Class C",1173,"MUSI D/S AT PRATAPSINGARAM, HYDERABAD","MUSI D/S",TELANGANA,"17.370097","78.469786"
"Class C",1174,"TUNGABHADRA AT KURNOOL U/s, BHAVAPURAM, KURNOOL",TUNGABHADRA,"ANDHRA PRADESH","15.8483","78.034942"
"Class C",1175,"KRISHNA A/c WITH TUNGABHADRA, SANGAMESHWARAM, KURNOOL",KRISHNA,"ANDHRA PRADESH","16.001874","78.364986"
"Class C",1177,"MUNERU B/c WITH KRISHNA, NANDIGAMA",MUNERU,"ANDHRA PRADESH","16.670823","80.297751"
"Class C",1178,"PALLERU B/c WITH KRISHNA, JAGGAIAPET",PALLERU,"ANDHRA PRADESH","16.951698","80.048401"
"NOT Class C",1181,"KRISHNA AT D/S OF NARAYANPURA DAM,",KRISHNA,KARNATAKA,"16.242436","76.370678"
"NOT Class C",1182,"KRISHNA AT U/S OF UGARKHURD BARRAGE,",KRISHNA,KARNATAKA,"16.640864","74.821308"
"NOT Class C",1183,"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,",BHIMA,KARNATAKA,"17.179219","76.566603"
"NOT Class C",1184,"BHIMA AT FEROZABAD VILLAGE (D/S),",BHIMA,KARNATAKA,"17.069328","76.794283"
"Class C",1185,"GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG.,",GHATPRABHA,KARNATAKA,"16.328103","75.268333"
"Class C",1186,"MALPRABHA AT D/S OF AIHOLE TOWN,",MALPRABHA,KARNATAKA,"16.009319","75.878022"
"Class C",1187,"MALPRABHA AT D/S OF KHANAPUR VILLAGE,",MALPRABHA,KARNATAKA,"15.633431","74.510322"
"NOT Class C",1188,"BHIMA AT NARSINGPUR, (D/S AF.CONFL.WITH R.NIRA), NARSINGPUR, MALSHIROS",BHIMA,MAHARASHTRA,"17.985845","75.116249"
"NOT Class C",1189,"BHIMA AT PUNE U/S VITHALWADI, HAWELI, PUNE",BHIMA,MAHARASHTRA,"18.481871","73.829569"
"NOT Class C",1190,"BHIMA AT PUNE, D/S OF BUNDGARDEN, YERWADA, HAWELI, PUNE",BHIMA,MAHARASHTRA,"18.54325","73.885036"
"NOT Class C",1192,"BHIMA AFTER CONF. WITH DAUND, DAUND, PUNE",,MAHARASHTRA,"18.464553","74.583576"
"NOT Class C",1194,"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM, MAHABALESHWAR, SATARA",KRISHNA,MAHARASHTRA,"17.981764","73.795456"
"Class C",1195,"CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),",CAUVERY,KARNATAKA,"12.448489","75.96987"
"NOT Class C",1196,"LAKSHMANTIRTHA AT D/S OF HUNSUR TOWN,",LAKSHMANTIRTHA,KARNATAKA,"12.302189","76.286164"
"NOT Class C",1197,"KABINI AT SARAGUR VILLAGE D/S,",KABINI,KARNATAKA,"12.019853","76.388075"
"Class C",1198,"CAUVERY AT NAPOKULU BDG (D/S),",CAUVERY,KARNATAKA,"12.314149","75.698522"
"Class C",1199,"HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR",HEMAVATI,KARNATAKA,"12.809694","76.205642"
"NOT Class C",12,"GODAVARI AT DHALEGAON, PATHARI, PARBHANI",GODAVARI,MAHARASHTRA,"19.226068","76.367013"
"NOT Class C",1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR,",SHIMSHA,KARNATAKA,"12.979108","76.851622"
"NOT Class C",1202,"CAUVERY AT TIRUCHIRAPPALLI U/S, TAMILNADU",CAUVERY,"TAMIL NADU","10.833263","78.718224"
"NOT Class C",1203,"CAUVERY AT TRICHY, GRAND ANAICUT, TAMILNADU",CAUVERY,"TAMIL NADU","10.830327","78.81177"
"NOT Class C",1206,"CAUVERY AT THANJAVUR, TAMILNADU",CAUVERY,"TAMIL NADU","11.34","79.24"
"Class C",1207,"KABINI AT MUTHANKARA, KERALA",KABINI,KERALA,"11.697858","76.397006"
"NOT Class C",1209,"GODAVARI AT RAHER, NAYAGAON, NANDED",GODAVARI,MAHARASHTRA,"18.85443","77.527475"
"NOT Class C",1210,"GODAVARI AT VISHNUPURI,NANDED, NANDED",GODAVARI,MAHARASHTRA,"19.113106","77.288242"
"NOT Class C",1211,"GODAVARI AT NASIK D/S, GADGEBABA MAHARAJ NAGAR, NASHIK",GODAVARI,MAHARASHTRA,"20.001568","73.795314"
"NOT Class C",1212,"WARDHA AT RAJURA BRIDGE,RAJURA, CHANDRAPUR, CHANDRAPUR",WARDHA,MAHARASHTRA,"19.77611","79.354942"
"NOT Class C",1213,"WAINGANGA AT BALAGHAT,",WAINGANGA,"MADHYA PRADESH","21.802913","80.157861"
"Class C",1214,"WAINGANGA AT CHINDWARA,",WAINGANGA,"MADHYA PRADESH","21.804398","80.157483"
"NOT Class C",1215,"MANER AT WARANGAL U/S (RIVER MANERU AT THUMMALA CHERUVU/MADANNAPET)",MANER,TELANGANA,"17.974814","79.898686"
"Class C",1218,"GODAVARI AT RAJAHMUNDRY U/s, KUMARADEVAM, EAST GODAVARI",GODAVARI,"ANDHRA PRADESH","17.069466","81.711134"
"Class C",1219,"GODAVARI AT RAJAHMUNDRY D/s, DHAVALESWARAM, EAST GODAVARI",GODAVARI,"ANDHRA PRADESH","17.007975","81.763328"
"Class C",1221,"SABARMATI AT KHEROJ BRIDGE,",SABARMATI,GUJARAT,"24.22986","73.005317"
"NOT Class C",1223,"SABARMATI AFTER CONF. WITH MESHWA AT VAUTHA (NEAR DHOKLA),","SABARMATI AFTER CONF. WITH MESHWA",GUJARAT,"22.721547","72.530103"
