group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"NOT Class C",2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI","VASHISHTI RIVER",MAHARASHTRA,"17.52435","73.544556",red,"#f03"
"NOT Class C",2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI","VASHISHTI RIVER",MAHARASHTRA,"17.532364","73.516651",red,"#f03"
"NOT Class C",2715,"VEL RIVER AT SHIKRAPUR, SHIRUR, PUNE","VEL RIVER",MAHARASHTRA,"18.692778","74.13348",red,"#f03"
"NOT Class C",2716,"VENNA RIVER AT MAHABALESHWAR, SATARA","VENNA RIVER",MAHARASHTRA,"17.933739","73.665091",red,"#f03"
"NOT Class C",2717,"VENNA RIVER AT MAHULI, SATARA.","VENNA RIVER",MAHARASHTRA,"17.692894","74.050883",red,"#f03"
"Class C",2718,"WAGHUR RIVER, AT- SAKEGAON BEFORE, CONFLUENCE WITH TAPI RIVER, JALGAON.",,MAHARASHTRA,"21.041903","75.733072",blue,"#00f"
"NOT Class C",2719,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.","WARDHA RIVER",MAHARASHTRA,"19.962632","79.277747",red,"#f03"
"NOT Class C",2720,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.","WARDHA RIVER",MAHARASHTRA,"19.962783","79.277286",red,"#f03"
"NOT Class C",2721,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.","WARDHA RIVER",MAHARASHTRA,"19.956027","79.099547",red,"#f03"
"NOT Class C",2722,"WENA RIVER AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT","WENA RIVER",MAHARASHTRA,"20.555303","78.816456",red,"#f03"
"NOT Class C",2723,"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD","WENA RIVER",MAHARASHTRA,"20.544289","78.811978",red,"#f03"
"NOT Class C",2724,"SUSWA RIVER AT MOTHRAWALA, DEHRADUN","SUSWA RIVER",UTTARAKHAND,"30.25","78.016667",red,"#f03"
"NOT Class C",2727,"UPPER GANGA RIVER D/S ROORKEE","UPPER GANGA RIVER",UTTARAKHAND,"29.851669","77.879742",red,"#f03"
"NOT Class C",2728,"GOLA RIVER AT HALDWANI","GOLA RIVER",UTTARAKHAND,"29.209064","79.537174",red,"#f03"
"NOT Class C",2731,"KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE","KOSI RIVER",UTTARAKHAND,"29.158694","79.03956",red,"#f03"
"NOT Class C",2732,"DHELA RIVER U/S AT KASHIPUR MORADABAD ROAD BRIDGE","DHELA RIVER U/S",UTTARAKHAND,"29.111195","78.908723",red,"#f03"
"NOT Class C",2733,"DHELA RIVER D/S AT THAKURDWARA ALIGANJ ROAD","DHELA RIVER D/S",UTTARAKHAND,"29.15049","78.893386",red,"#f03"
"NOT Class C",2734,"BHALLA RIVER U/S KASHIPUR","BHALLA RIVER",UTTARAKHAND,"29.206769","78.986242",red,"#f03"
"NOT Class C",2735,"BHALLA RIVER AT LOHIA BRIDGE D/S KASHIPUR","BHALLA RIVER",UTTARAKHAND,"29.146732","78.982975",red,"#f03"
"NOT Class C",2742,"TAWI AT SHETALI LIFTING POINT NAGROTA(5KM U/S TAWI BRIDGE),J&K",TAWI,"JAMMU & KASHMIR","32.804021","74.923034",red,"#f03"
"NOT Class C",2743,"TAWI AT BAGH-E-BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),J&K",TAWI,"JAMMU & KASHMIR","32.724181","74.875506",red,"#f03"
"NOT Class C",2746,"TAWI AT BELICHARANA(4KM D/S TAWI BRIDGE),J&K",TAWI,"JAMMU & KASHMIR","32.698334","74.830353",red,"#f03"
"NOT Class C",2747,"TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,J&K",TAWI,"JAMMU & KASHMIR","32.786667","74.978889",red,"#f03"
"NOT Class C",2748,"CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),J&K",CHENAB,"JAMMU & KASHMIR","33.151325","74.882478",red,"#f03"
"NOT Class C",2749,"CHENAB AT BLIND CURVE SHAMSHAN GHAT (1.5 KM U/S FROM SPOT),J&K",CHENAB,"JAMMU & KASHMIR","32.956944","74.961389",red,"#f03"
"NOT Class C",2750,"CHENAB AT CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT),J&K",CHENAB,"JAMMU & KASHMIR","33.013333","74.774167",red,"#f03"
